legacy_batch_source,new_stage_batch,source_file,legacy_table_name,record_key,legacy_dedupe_key,target_schema,target_table,migration_priority,payload_kind,title_or_key,planned_batch08_action
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأوقاف الأردني رقم 23 لسنة 1964 - المادة 1: التعاريف,9efa5282d3789885,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف الأردني رقم 23 لسنة 1964 - المادة 1: التعاريف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأوقاف الأردني - المادة 10: إدارة الأوقاف,405be8aedb24221e,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف الأردني - المادة 10: إدارة الأوقاف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأراضي العثماني - المادة 4: الأراضي الموقوفة,04c75fc89cbdf45d,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأراضي العثماني - المادة 4: الأراضي الموقوفة,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأراضي العثماني - المادة 36: حقوق المتولي,e6e8ba2192f8e400,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأراضي العثماني - المادة 36: حقوق المتولي,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,مجلة الأحكام العدلية - المادة 2: أركان الوقف,7d4e695fd03070e1,assistant,knowledge_documents,P1,legacy_sql_insert_row,مجلة الأحكام العدلية - المادة 2: أركان الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,مجلة الأحكام العدلية - المادة 3: شروط الواقف,ca3ccf170e34c9a3,assistant,knowledge_documents,P1,legacy_sql_insert_row,مجلة الأحكام العدلية - المادة 3: شروط الواقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,مجلة الأحكام العدلية - المادة 6: استبدال الوقف,18ec6d15f52e636e,assistant,knowledge_documents,P1,legacy_sql_insert_row,مجلة الأحكام العدلية - المادة 6: استبدال الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأوقاف الأردني - المادة 2: تعريف الوقف الخيري,b41c8f9880a4dc61,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف الأردني - المادة 2: تعريف الوقف الخيري,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأوقاف الأردني - المادة 3: الوقف الذري,550ca54474cde63a,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف الأردني - المادة 3: الوقف الذري,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأوقاف الأردني - المادة 15: صلاحيات المتولي,ec8c439af278d1aa,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف الأردني - المادة 15: صلاحيات المتولي,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأوقاف الأردني - المادة 20: الإشراف على الأوقاف,847c0cfd6c9a92c7,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف الأردني - المادة 20: الإشراف على الأوقاف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قرار بقانون رقم 1 لسنة 2018 - المادة 2: أهداف الوزارة,4b6043c3fd0706bd,assistant,knowledge_documents,P1,legacy_sql_insert_row,قرار بقانون رقم 1 لسنة 2018 - المادة 2: أهداف الوزارة,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قرار بقانون 2018 - المادة 5: المجلس الأعلى للأوقاف,9788e025191f5aff,assistant,knowledge_documents,P1,legacy_sql_insert_row,قرار بقانون 2018 - المادة 5: المجلس الأعلى للأوقاف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قرار بقانون 2018 - المادة 10: حماية الأوقاف,00a3af581356a94c,assistant,knowledge_documents,P1,legacy_sql_insert_row,قرار بقانون 2018 - المادة 10: حماية الأوقاف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الفقه الحنفي - تعريف الوقف,be1791a367a1e0c9,assistant,knowledge_documents,P1,legacy_sql_insert_row,الفقه الحنفي - تعريف الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الفقه الحنفي - شروط صحة الوقف,acfff01ce9ec9c70,assistant,knowledge_documents,P1,legacy_sql_insert_row,الفقه الحنفي - شروط صحة الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الفقه الحنفي - وقف المنقول,87077a71cb12464f,assistant,knowledge_documents,P1,legacy_sql_insert_row,الفقه الحنفي - وقف المنقول,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الفقه الحنفي - استبدال الوقف,be7c48afafac8693,assistant,knowledge_documents,P1,legacy_sql_insert_row,الفقه الحنفي - استبدال الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,أوقاف القدس التاريخية - المسجد الأقصى,db719c3e0cbe9657,assistant,knowledge_documents,P1,legacy_sql_insert_row,أوقاف القدس التاريخية - المسجد الأقصى,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,أوقاف القدس - الأوقاف الصلاحية,95856c4c15d00b8e,assistant,knowledge_documents,P1,legacy_sql_insert_row,أوقاف القدس - الأوقاف الصلاحية,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,أوقاف القدس - الزوايا والتكايا,4691365f080905ca,assistant,knowledge_documents,P1,legacy_sql_insert_row,أوقاف القدس - الزوايا والتكايا,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,أوقاف القدس - المدارس الوقفية,1d3664ea342eb2b0,assistant,knowledge_documents,P1,legacy_sql_insert_row,أوقاف القدس - المدارس الوقفية,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون أملاك الغائبين الإسرائيلي 1950 - التعريف,70e0a054eb51cf8e,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون أملاك الغائبين الإسرائيلي 1950 - التعريف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون أملاك الغائبين - الأوقاف,cc74aa009f675dad,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون أملاك الغائبين - الأوقاف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الانتداب البريطاني - قانون الأوقاف 1922,4f5423e364fe5274,assistant,knowledge_documents,P1,legacy_sql_insert_row,الانتداب البريطاني - قانون الأوقاف 1922,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,المجلس الإسلامي الأعلى - الصلاحيات,5c08a1c584123893,assistant,knowledge_documents,P1,legacy_sql_insert_row,المجلس الإسلامي الأعلى - الصلاحيات,stage_all_then_promote_p1_knowledge
